267,2020-03-30,H207650,Vessel,MOJI Port,The address listed above,2020-05-02,To NAFCO Moji Direct,
268,2020-03-30,H207651,Vessel,MOJI Port,The address listed above,2020-05-16,To NAFCO Moji Direct,
269,2020-03-31,H207652,Vessel,Nagoya Port,The address listed above,2020-05-14,To Hukla Japan/Nanno ,2020-05-25
270,2020-03-31,H207653,Vessel,NAGOYA Port,The address listed above,2020-05-14,To Fujikoshi NAGOYA Direct,
271,2020-03-31,H207654,Vessel,HAKATA Port,The address listed above,2020-05-09,To Fukuhaku Direct,
272,2020-04-07,H207655,Vessel,Nagoya Port,The address listed above,2020-05-21,To Hukla Japan/Nanno ,2020-06-03
273,2020-04-08,H207656,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-04-08,For Hukla Japan/Nanno Fac.,
274,2020-04-14,H207657,Vessel,Nagoya Port,The address listed above,2020-05-28,To Hukla Japan/Nanno ,2020-06-10
275,2020-04-21,H207658,Vessel,Nagoya Port,The address listed above,2020-06-04,To Hukla Japan/Nanno ,2020-06-17
276,2020-04-27,H207659,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-05-01,For Hukla Japan/Nanno Fac.,
277,2020-04-28,H207660,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-04-28,For Hukla Japan/Nanno Fac.,
278,2020-04-28,H207661,Vessel,Nagoya Port,The address listed above,2020-06-11,To Hukla Japan/Nanno ,2020-06-24
280,2020-05-12,H207662,Vessel,Nagoya Port,The address listed above,2020-06-18,To Hukla Japan/Nanno ,2020-07-01
282,2020-05-15,H207663,Vessel,MOJI Port,The address listed above,2020-06-20,To NAFCO Moji Direct,
283,2020-05-16,H207664,Vessel,NAGOYA Port,The address listed above,2020-08-06,To Fujiei NAGOYA Direct ,2020-08-17
284,2020-05-19,H207665,Vessel,Nagoya Port,The address listed above,2020-06-25,To Hukla Japan/Nanno ,2020-07-08
285,2020-05-21,H207666,Vessel,Nagoya Port,The address listed above,2020-05-21,To Hukla Japan/Nanno ,
286,2020-05-26,H207667,Vessel,Nagoya Port,The address listed above,2020-07-02,To Hukla Japan/Nanno ,2020-07-15
287,2020-05-26,H207668,Vessel,NAGOYA Port,The address listed above,2020-07-02,To Daizen NAGOYA Direct ,--
290,2020-06-02,H207670,Vessel,Nagoya Port,The address listed above,2020-07-09,To Hukla Japan/Nanno ,2020-07-22
292,2020-06-09,H207671,Vessel,Nagoya Port,The address listed above,2020-07-16,To Hukla Japan/Nanno ,2020-07-29
293,2020-06-09,H207672,Vessel,MOJI Port,The address listed above,2020-07-11,To NAFCO Moji Direct,2020-07-18
295,2020-06-10,H207673,Vessel,Nagoya Port,The address listed above,2020-06-18,To Hukla Japan/Nanno ,
297,2020-06-11,H207674,Vessel,HAKATA Port,The address listed above,2020-07-18,To Fukuhaku Direct,
298,2020-06-16,H207675,Vessel,Nagoya Port,The address listed above,2020-07-23,To Hukla Japan/Nanno ,2020-08-05
299,2020-06-17,H207676,Vessel,Nagoya Port,The address listed above,2020-06-24,To Hukla Japan/Nanno ,
300,2020-06-19,H207677,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-06-24,For Hukla Japan/Nanno Fac.,
301,2020-06-23,H207678,Vessel,Nagoya Port,The address listed above,2020-07-30,To Hukla Japan/Nanno ,2020-08-19
302,2020-06-23,H207679,Vessel,HAKATA Port,The address listed above,2020-08-01,To NIC Hakata Direct,2020-08-19
303,2020-06-23,H207680,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-06-26,For Hukla Japan/Nanno Fac.,
304,2020-06-30,H207681,Vessel,Nagoya Port,The address listed above,2020-08-06,To Hukla Japan/Nanno ,2020-08-26
305,2020-07-01,H207682,Vessel,Nagoya Port,The address listed above,2020-07-01,To Hukla Japan/Nanno ,
306,2020-07-03,H207683,Vessel,HAKATA Port,The address listed above,2020-08-22,To Livinghouse Hakata Direct,2020-08-31
307,2020-07-07,H207684,Vessel,Nagoya Port,The address listed above,2020-08-20,To Hukla Japan/Nanno ,2020-09-04
308,2020-07-10,H207685,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-07-10,For Hukla Japan/Nanno Fac.,
